Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
1602;11200;Олійника Степана;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради народних депутатів;13.02.1990;149;«Про повернення вулицям історичних назв, найменування і перейменування площі і вулиць у м. Києві, а також впорядкування нумерації окремих будинків»;Пролягає від Ревуцького, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
1603;11201;Ольгинська;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради народних депутатів;07.08.1984;714;«Про перейменування вулиць м. Києва»;Пролягає від Франка Івана, пл. та Городецького Архітектора, вул. до Інститутської вул.;;;;;;;;;;;;;;;;;;;;
1604;11202;Ольжича;вулиця;Шевченківський;Розпорядження Київської міської ради народних депутатів та Київської міської державної адміністрації;02.02.1993;16/116;Про повернення вулицям історичних назв, перейменування парків культури та відпочинку, станцій метро;Пролягає від Теліги Олени, вул. до Сирецької вул.;;;;;;;;;;;;;;;;;;;;
1605;11530;Омелютинська;вулиця;Печерський;Рішення Київської міської ради ;22.02.2018;320/4384;«Про повернення історичної назви вулиці у Печерському районі міста Києва»;Пролягає від Звіринецької вул. до Тимірязєвської вул.;Сєдовців;вулиця;;;;;;;;;;;;;;;;;;
1606;13090;Омеляна Поповича;вулиця;Голосіївський;Рішення Київської міської ради;19.04.2018;488/4552;Про найменування нових вулиць у Голосіївському районі міста Києва;Пролягає від Академіка Заболотного вул. до Академіка Заболотного вул. (півколом);Проектна - 13090;вулиця;;;;;;;;;;;;;;;;;;
1607;11203;Онискевича Григорія;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;15.11.1976;1345;«Про впорядкування найменувань та перейменування вулиць м. Києва»;Пролягає від Вітрука Генерала, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
1608;11170;Опришківська;вулиця;Дніпровський;Рішення Київської міської ради;22.03.2018;370/4434;Про перейменування вулиці у Дніпровському районі міста Києва;Пролягає від Довбуша Олекси, вул. до Літинської вул.;Новоросійська;вулиця;;;;;;;;;;;;;;;;;;
1609;11204;Оранжерейна;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Дегтярівської вул. до Юрія Іллєнка, вул.;;;;;;;;;;;;;;;;;;;;
1610;11205;Орбітна;вулиця;Голосіївський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Планетної вул. (двічі, утворюючи півколо).;;;;;;;;;;;;;;;;;;;;
1611;11206;Організаторська;вулиця;Солом'янський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Кондукторської вул. до Радісної вул.;;;;;;;;;;;;;;;;;;;;
1612;13095;Ореста Субтельного;вулиця;Оболонський;Рішення Київської міської ради;19.04.2018;489/4553;Про найменування нових вулиць в Оболонському районі міста Києва;Пролягає від Степана Бандери просп. до Вербової вул.;Проектна - 13095;вулиця;;;;;;;;;;;;;;;;;;
1613;13064;Ореста Чемеринського;вулиця;Деснянський;Рішення Київської міської ради;12.10.2017;180/3187;«Про найменування нових вулиць у Деснянському районі міста Києва»;Пролягає від Івана Рогача, вул. до Павлв Филиповича, вул.;Проектна-13064;вулиця;;;;;;;;;;;;;;;;;;
1614;11207;Орлика Пилипа;вулиця;Печерський;Розпорядження Київської міської ради народних депутатів та Київської міської державної адміністрації;02.02.1993;16/116;Про повернення вулицям історичних назв, перейменування парків культури та відпочинку, станцій метро;Пролягає від Шовковичної вул. до Гордієнка Костя, пров.;;;;;;;;;;;;;;;;;;;;
1615;11208;Орловська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Орловського пров. до Щусєва, вул.;;;;;;;;;;;;;;;;;;;;
1616;11209;Орловський;провулок;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Ризької вул. до Щусєва, вул.;;;;;;;;;;;;;;;;;;;;
1617;11210;Орська;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Золочевської вул. до Косенка, вул.;;;;;;;;;;;;;;;;;;;;
1618;12140;Орхідейна;вулиця;Дарницький;-;-;-;-;Пролягає від Північно-Озерного 3пров. до кінця забудови .;;;;;;;;;;;;;;;;;;;;
1619;11211;Освіти;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Повітрофлотського просп. до Кривоноса Максима, вул.;;;;;;;;;;;;;;;;;;;;
1620;11212;Осиповського;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;21.11.1961;2259;«Про найменування та перейменування вулиць, площ та парків міста»;Пролягає від Вишгородської вул. до Канівської вул.;;;;;;;;;;;;;;;;;;;;
1621;11734;Осінній;провулок;Святошинський;Рішення Київської міської ради;17.12.2015;30/30;Про повернення історичних назв, уточнення назв, перейменування вулиць, проспекту, площ та провулків у місті Києві;Пролягає від Осінньої вул. до Академіка Єфремова, вул.;Ульянова Володимира;провулок;;;;;;;;;;;;;;;;;;
1622;11213;Осіння;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради народних депутатів;17.06.1985;500;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Академіка Єфремова, вул., до Булаховського Академіка, вул.;;;;;;;;;;;;;;;;;;;;
1623;11214;Оскольська;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Сучасна назва з 1950. Пролягає від початку забудови до Науки, просп. ;;;;;;;;;;;;;;;;;;;;
1624;11215;Оскольський;провулок;Голосіївський;-;-;-;-;Пролягає від Малокитаївської вул. до Ціолковського, вул.;;;;;;;;;;;;;;;;;;;;
1625;11216;Осокорська;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Зарічної вул. (двічі, утворюючи півколо).;;;;;;;;;;;;;;;;;;;;
1626;11217;Осокорський;провулок;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Осокорської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1627;12811;Остапа Вересая;вулиця;Голосіївський;Рішення Київської міської ради;12.10.2017;181/3188;«Про найменування нових вулиць у Голосіївському районі міста Києва»;Пролягає від Назарія Яремчука, вул. до Валентина Отаманського, вул.;Проектна-12811;вулиця;;;;;;;;;;;;;;;;;;
1628;11218;Остапа Вишні;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Менделєєва, вул. (двічі).;;;;;;;;;;;;;;;;;;;;
1629;11219;Остерська;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Марганецької вул. до Опришківської вул.;;;;;;;;;;;;;;;;;;;;
1630;11220;Остерський;провулок;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Марганецької вул. до Опришківської вул.;;;;;;;;;;;;;;;;;;;;
1631;11221;Острівна;вулиця;Голосіївський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Новопирогівської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1632;12363;Острівна 1;вулиця;Голосіївський;-;-;-;-;Пролягає на о. Водників вздовж узбережжя Дніпра від мосту до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1633;12364;Острівна 2;вулиця;Голосіївський;-;-;-;-;Пролягає на о. Водників від Острівної 1 вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1634;11412;Отця Анатолія Жураковського;вулиця;Солом'янський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Шевченка, вул. до Садової вул.;Радянська;вулиця;;;;;;;;;;;;;;;;;;
1635;11227;Охтирська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Каменярів, вул. до Кайсарова, вул. та Охтирського пров.;;;;;;;;;;;;;;;;;;;;
1636;11228;Охтирський;провулок;Голосіївський;-;-;-;-;Сучасна назва з 1954. Пролягає від Максимовича Михайла, вул. до Кайсарова, вул. та Охтирської вул.;;;;;;;;;;;;;;;;;;;;
1637;11229;Очаківська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Левка Мацієвича вул. до Волинської вул.;;;;;;;;;;;;;;;;;;;;
1638;11230;Очаківський;провулок;Солом'янський;-;-;-;-;Сучасна назва з 1953. Пролягає від Донецької вул. до Очаківської вул.;;;;;;;;;;;;;;;;;;;;
1639;13065;Павла Филиповича;вулиця;Деснянський;Рішення Київської міської ради;12.10.2017;180/3187;«Про найменування нових вулиць у Деснянському районі міста Києва»;Пролягає від Ушицької, вул. до Лазурної, вул.;Проектна-13065;вулиця;;;;;;;;;;;;;;;;;;
1640;10822;Павла Чубинського;вулиця;Дарницький;Рішення Київської міської ради;03.09.2015;944/1808;Про перейменування вулиць, площ, провулків та проспектів у місті Києві ;Пролягає від Сімферопольської вул. до Ялтинської вул.;Крупської;вулиця;;;;;;;;;;;;;;;;;;
1641;11232;Павленка;провулок;Святошинський;-;-;-;-;Виник у 1-й пол. 20 ст. Пролягає від Павленка, вул. до Наумовича Володимира, вул.;;;;;;;;;;;;;;;;;;;;
1642;11231;Павленка;вулиця;Святошинський;-;-;-;-;Виникла у 1-й пол. 20 ст. Пролягає від Обухівської вул. до Наумовича Володимира, вул.;;;;;;;;;;;;;;;;;;;;
1643;11233;Павлівська;вулиця;Шевченківський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;«Про впорядкування найменувань площ, вулиць та провулків м. Києва»;Пролягає від Гоголівської вул.,  Володимира Винниченка, вул. до Чорновола В'ячеслава, вул.;;;;;;;;;;;;;;;;;;;;
1644;11234;Павлоградська;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Сирецької вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1645;11235;Палладіна Академіка;проспект;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;19.03.1973;431;«Про впорядкування найменувань та перейменування вулиць м. Києва»;Пролягає від Перемоги, просп. і Кільцевої дороги до Гостомельської пл.;;;;;;;;;;;;;;;;;;;;
1646;11429;Памви Беринди;провулок;Печерський;Рішення Київської міської ради;22.03.2018;372/4436;Про перейменування провулку у Печерському районі міста Києва;Пролягає від Лейпцизької вул. до тупика. ;Михайла Реута;провулок;;;;;;;;;;;;;;;;;;
1647;11236;Панаса Мирного;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;30.05.1949;1026;«Об увековечении памяти выдающегося писателя — классика украинской литературы Панаса Мирного (А. Я. Рудченко)»;Пролягає від Московської вул. до тупика.;;;;;;;;;;;;;;;;;;;;
1648;11237;Панаса Мирного;провулок;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Панаса Мирного, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
1649;11239;Панорамна;вулиця;Голосіївський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Лисогірської вул. до Ракетної вул.;;;;;;;;;;;;;;;;;;;;
1650;13088;Пантелеймонівська;вулиця;Голосіївський;Рішення Київської міської ради;19.04.2018;488/4552;Про найменування нових вулиць у Голосіївському районі міста Києва;Пролягає від Академіка Заболотного вул. до Полонської-Василенко вул.;Проектна - 13088;вулиця;;;;;;;;;;;;;;;;;;
1651;11240;Пантелькіна Анатолія;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради народних депутатів;07.04.1980;453;«Про перейменування та найменування окремих вулиць м. Києва»;Пролягає від Онискевича Григорія, вул. до Краснова Миколи, вул.;;;;;;;;;;;;;;;;;;;;
1652;11243;Панча Петра;вулиця;Оболонський;Рішення виконавчого комітету Київської міської ради народних депутатів;17.05.1989;440;«Про найменування нових вулиць м. Києва»;Пролягає від Бережанської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1653;11244;Паньківська;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради народних депутатів;19.10.1990;905;«Про повернення вулицям історичних назв, найменування та перейменування вулиць, станцій метро та нового мостового переходу в м. Києві»;Пролягає від Толстого Льва, вул. до Жилянської вул.;;;;;;;;;;;;;;;;;;;;
1654;11886;Параджанова Сергія;вулиця;Шевченківський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Черняховського, вул. (двічі, утворюючи форму ламаної лінії).;Шаумяна;вулиця;;;;;;;;;;;;;;;;;;
1655;11887;Параджанова Сергія;провулок;Шевченківський;Рішення Київської міської ради;20.12.2016;704/1708;Про уточнення назв, перейменування вулиць та провулків у місті Києві;Пролягає від Параджанова Сергія, вул. до Черняховського, вул.;Шаумяна;провулок;;;;;;;;;;;;;;;;;;
1656;13121;Парашутистів;вулиця;Святошинський;Рішення Київської міської ради;30.07.2020;247/9326;Про найменування вулиць та провулків у Деснянському та Святошинському районах міста Києва;Пролягає від вулиці Білогородської до вулиці Любимівської;Парашутистів;вулиця;;;;;;;;;;;;;;;;;;
1657;13122;Парашутистів;провулок;Святошинський;Рішення Київської міської ради;30.07.2020;247/9326;Про найменування вулиць та провулків у Деснянському та Святошинському районах міста Києва;Пролягає від вулиці Любимівської до тупика;Без назви;провулок;;;;;;;;;;;;;;;;;;
1658;11245;Паркова;вулиця;Подільський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Білицької вул. до Полкового пров.;;;;;;;;;;;;;;;;;;;;
1659;11246;Паркова;дорога;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;26.08.1963;1247;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Петрівської алеї до Андрія Первозванного, пл.;;;;;;;;;;;;;;;;;;;;
1660;11247;Парковий;провулок;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Білицької вул. до Замковецької вул. ;;;;;;;;;;;;;;;;;;;;
1661;11885;Парково-Сирецька;вулиця;Шевченківський;Рішення Київської міської ради;12.10.2017;186/3193;«Про перейменування вулиці у Шевченківському районі міста Києва»;Пролягає від Дорогожицької вул. і Ризької вул. до Дегтярівської вул. і Жабаєва Жамбила, вул. ;Тимофія Шамрила;вулиця;;;;;;;;;;;;;;;;;;
1662;11248;Парникова;вулиця;Голосіївський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;«Про впорядкування найменувань площ, вулиць та провулків м. Києва»;Пролягає від Кащенка Академіка, вул. до Квітки-Основ'яненка, вул.;;;;;;;;;;;;;;;;;;;;
1663;11249;Паровозна;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Сеноманської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1664;11250;Паровозний;провулок;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Сеноманської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1665;10774;Пасічна;вулиця;Дарницький;Рішення Київської міської ради;08.10.2015;130/2033;Про перейменування вулиць, провулків у Дарницькому районі;Пролягає від Коцюбинського, вул. до Лугової вул. ;Котовського;вулиця;;;;;;;;;;;;;;;;;;
1666;10611;Пасхаліна Юрія;вулиця;Дарницький;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Привокзальної пл. та Привокзальної вул. до Юрія Литвинського  вул.;Ілліча;вулиця;;;;;;;;;;;;;;;;;;
1667;11251;Патона Академіка;провулок;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Правди, просп. до Западинської вул.;;;;;;;;;;;;;;;;;;;;
1668;11252;Паторжинського;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;30.12.1962;2216;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Прорізної вул. до Ірининської вул.;;;;;;;;;;;;;;;;;;;;
1669;10532;Патріарха Володимира Романюка;вулиця;Святошинський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від проїзду вздовж Палладіна Академіка, просп. до Булаховського Академка, вул.;Жовтнева;вулиця;;;;;;;;;;;;;;;;;;
1670;11223;Патріарха Мстислава Скрипника;вулиця;Солом'янський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Кривоноса Петра, пл. до Липківського Василя Митрополита, вул.;Островського Миколи;вулиця;;;;;;;;;;;;;;;;;;
1671;11253;Патріотів;вулиця;Солом'янський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Августина Волошина, вул. до Шепелєва Миколи, вул.;;;;;;;;;;;;;;;;;;;;
1672;11254;Паустовського;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;10.09.1968;1494;Про найменування та перейменування вулиць м. Києва;Пролягає від Августина Волошина, вул. до Героїв Севастополя, вул.;;;;;;;;;;;;;;;;;;;;
1673;11255;Пашківська;вулиця;Святошинський;Рішення Київської міської ради;25.05.2011;190/5577;«Про найменування вулиць у м. Києві»;Пролягає від Чайківської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1674;11256;Первомайського Леоніда;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;16.12.1974;1476;«Про впорядкування найменувань та перейменування вулиць м. Києва»;Пролягає від Мечнікова, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1675;11257;Передова;вулиця;Голосіївський;-;-;-;-;Виникла у 1-й пол. 20 ст. Пролягає від Столичного шосе до Заболотного Академіка, вул. і Лазурної вул.;;;;;;;;;;;;;;;;;;;;
1676;11259;Перемоги;площа;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;03.01.1952;5;«Про зміну найменувань вулиць»;Розташована між Перемоги, просп., Шевченка Тараса, бульв., Бульварно-Кудрявської, вул., Золотоустівською вул., Дмитрівською вул., Гончара Олеся, вул., Саксаганського, вул., Старовокзальною вул.;;;;;;;;;;;;;;;;;;;;
1677;11260;Перемоги;проспект;Шевченківський, Святошинський, Солом'янський;Рішення виконавчого комітету Київської міської ради народних депутатів;27.03.1985;235;«О преименовании Брест-Литовского проспекта и части бульвара Шевченко на проспект Победы»;Пролягає від Перемоги, пл. до Брест-Литовського шосе.;;;;;;;;;;;;;;;;;;;;
1678;11258;Перемоги;вулиця;Святошинський;-;-;-;-;Сучасна назва з 1957. Пролягає від Кільцевої дороги до Бетховена, вул.;;;;;;;;;;;;;;;;;;;;
1679;11854;Пересіченський;провулок;Голосіївський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Науки, просп. до тупика.;Червонопрапорний;провулок;;;;;;;;;;;;;;;;;;
1680;11262;Переяславська;вулиця;Подільський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Білицької вул. до Замковецької вул.;;;;;;;;;;;;;;;;;;;;
1681;11261;Переяславська;вулиця;Дарницький;-;-;-;-;Пролягає від Харченка Євгена, вул. та Богуна Івана, вул. до межі міськради.;;;;;;;;;;;;;;;;;;;;
1682;11263;Перова;бульвар;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;10.09.1968;1494;«Про найменування та перейменування вулиць м. Києва» ;Пролягає від Визволителів, просп. та Воскресенської вул. до Романа Шухевича, просп. та Керченської пл.;;;;;;;;;;;;;;;;;;;;
1683;12178;Персикова (Озерна 16);вулиця;Дарницький;Лист;15.01.2014;333/0/02-14;"п. 50 Листа ДП ""Інформаційний центр"" Міністерства юстиції України";Пролягає від Підбірної, вул. до тупика;;;;;;;;;;;;;;;;;;;;
1684;12568;Перша;вулиця;Оболонський;-;-;-;-;Пролягає від початку забудови (поблизу дорожньої розв'язки на Богатирській вул.) до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1685;11266;Першого Травня ;вулиця;Дарницький;-;-;-;-;Пролягає від Автотранспортної вул. до Заплавної, вул.;;;;;;;;;;;;;;;;;;;;
1686;11267;Пестеля Павла;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;31.03.1976;296;«Про впорядкування найменувань та перейменування вулиць м. Києва»;Пролягає від Перемоги, пл. та Жилянської вул. до Старовокзальної вул.;;;;;;;;;;;;;;;;;;;;
1687;11268;Петлюри Симона;вулиця;Шевченківський;Рішення Київської міської ради;18.06.2009;634/1690;«Про перейменування вулиці у Шевченківському районі міста Києва»;Пролягає від Шевченка Тараса, бульв. до Вокзальної пл.;;;;;;;;;;;;;;;;;;;;
1688;10884;Петра Дорошенка;вулиця;Святошинський;Рішення Київської міської ради;03.09.2015;944/1808;Про перейменування вулиць, площ, провулків та проспектів у місті Києві ;Пролягає від Міжнародної вул. до Бетховена, вул. ;Ленінська;вулиця;;;;;;;;;;;;;;;;;;
1689;13114;Петра Радзіня;вулиця;Дарницький;Рішення Київської міської ради;12.11.2019;34/7607;Про найменування вулиць у Дарницькому районі міста Києва;Пролягає від Дніпровської набережної до просп. Григоренка Петра;Проектна - 13114;вулиця;;;;;;;;;;;;;;;;;;
1690;11269;Петрицького Анатолія;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.07.1965;1270;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Перемоги, просп. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1691;11922;Петріва Всеволода;провулок;Шевченківський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Щербаківського Данила, вул. до кінця забудови (поблизу Гончарова, вул.).;Щербакова;провулок;;;;;;;;;;;;;;;;;;
1692;11270;Петрівська;алея;Печерський;-;-;-;-;Сучасна назва з 1912. Пролягає від Грушевського Михайла, вул. до Паркової дороги.;;;;;;;;;;;;;;;;;;;;
1693;11271;Петрівська;вулиця;Шевченківський;-;-;-;-;Сучасна назва з 1907. Пролягає від Глибочицької вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1694;11784;Петропавлівська;площа;Оболонський;Рішення Київської міської ради;13.11.2014;373/373;Про повернення історичних назв та перейменування вулиць, площ, провулків у місті Києві;Розташована між Кирилівською, вул. та проїздом без назви до Скляренка Степана, вул.;;;;;;;;;;;;;;;;;;;;
1695;11274;Петропавлівська;вулиця;Подільський;-;-;-;-;Сучасна назва з 1883. Пролягає від Кирилівської, вул. до Бакинської вул. та Верболозної вул.;;;;;;;;;;;;;;;;;;;;
1696;11275;Петропавлівський;провулок;Подільський;-;-;-;-;Виник у 1-й чв. 20 ст. Пролягає від Петропавлівської вул. (двічі, утворюючи півколо).;;;;;;;;;;;;;;;;;;;;
1697;11276;Петрусенко Оксани;вулиця;Голосіївський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Закарпатської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
1698;11277;Печенізька;вулиця;Шевченківський;Газета  «Кіевлянинъ» ;14.08.1869;95;«О наименовании некоторых улиц и площадей в Киеве»;Пролягає від Шмідта Отто, вул. до Підгірної вул.;;;;;;;;;;;;;;;;;;;;
1699;11278;Печерська;площа;Печерський;-;-;-;-;Виникла в серед. 20 ст. Розташована між Немировича-Данченка, вул., Гусовського, вул., Панаса Мирного, вул., Копиленка Олександра, вул., Євгена Гуцала, пров.;;;;;;;;;;;;;;;;;;;;
1700;11279;Печерський;узвіз;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;03.01.1952;5;«Про зміну найменувань вулиць»;Пролягає від Первомайського Леоніда, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
1701;13017;Пилипа Коновала;вулиця;Голосіївський, Солом’янський;Рішення Київської міської ради;12.11.2019;36/7609;Про найменування вулиць у Голосіївському та Солом'янському районах міста Києва;Пролягає від пров. Московського до вул. Академіка Вільямса;Проектна - 13017;вулиця;;;;;;;;;;;;;;;;;;
1702;13091;Пилипа Морачевського;вулиця;Голосіївський;Рішення Київської міської ради;19.04.2018;488/4552;Про найменування нових вулиць у Голосіївському районі міста Києва;Пролягає від Академіка Заболотного вул. до Омеляна Поповича вул.;Проектна - 13091;вулиця;;;;;;;;;;;;;;;;;;
1703;11280;Пилипівський;провулок;Шевченківський;-;-;-;-;Сучасна назва з  серед. 1950-х років. Пролягає від Студентської вул. до Дончука Василя, вул. ;;;;;;;;;;;;;;;;;;;;
1704;11281;Пимоненка Миколи;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;13.10.1959;1710;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Січових Стрільців, вул. до Глибочицької вул.;;;;;;;;;;;;;;;;;;;;
1705;12806;Пирнівська;вулиця;Деснянський;-;-;-;-;Пролягає від Єдності, вул. до Деснянської, вул.;;;;;;;;;;;;;;;;;;;;
1706;11853;Пирогівський шлях;вулиця;Голосіївський;Рішення Київської міської ради ;08.10.2015;128/2031;«Про повернення історичних назв вулицям та провулкам у місті Києві»;Пролягає від початку забудови (в промзоні) до автомагістралі Київ - Дніпропетровськ.;Червонопрапорна;вулиця;;;;;;;;;;;;;;;;;;
1707;11282;Пирогова;вулиця;Шевченківський;-;-;-;-;Сучасна назва з 1970-х років. Пролягає від Хмельницького Богдана, вул. до Шеченка Тараса, бульв.;;;;;;;;;;;;;;;;;;;;
