Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
43;10022;Андрія Первозванного;площа;Печерський;Рішення Київської міської ради;05.07.2001;447/1424;Про найменування площі;Розташована між Парковою дорогою, Дніпровським узвозом і Героїв Крут, алеєю.;;;;;;;;;;;;;;;;;;;;
44;10023;Андрющенка Григорія;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради народних депутатів;06.09.1982;1479;Про впорядкування найменувань та перейменувань вулиць м. Києва;Пролягає від Чорновола В’ячеслава, вул. до Шолуденка, вул.;;;;;;;;;;;;;;;;;;;;
45;10025;Анкари;площа;Деснянський;Рішення Київської міської ради ;27.02.2003;315/475;Про найменування площі у Деснянському районі м. Києва;Розташована на перетині Сержа Лифаря, вул., Маяковського Володимира, вул.;;;;;;;;;;;;;;;;;;;;
46;11752;Анни Ярославни;вулиця;Святошинський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Павленка, вул. до Осінньої вул. ;Фадєєва;вулиця;;;;;;;;;;;;;;;;;;
47;12005;Антіна Ждановича;вулиця;Солом'янський;Рішення Київської міської ради;12.11.2019;38/7611;Про найменування вулиць та провулків у Солом'янському районі міста Києва;Пролягає від вул. Молодіжної до вул. Сергія Шишка ;Колоскова;вулиця;;;;;;;;;;;;;;;;;;
48;11349;Антона Цедіка;вулиця;Шевченківський;Рішення Київської міської ради;12.10.2017;191/3198;Про перейменування вулиці у Шевченківському районі міста Києва;Пролягає від Довженка, вул. до тупика.;Ежена Потьє;вулиця;;;;;;;;;;;;;;;;;;
49;11972;Антоненка-Давидовича Бориса;вулиця;Дарницький;Рішення Київської міської ради   ;01.11.2012;229/8513;Про найменування вулиць у Дарницькому районі м. Києва;Пролягає від Хвильового Миколи, вул. до Бориспільської вул. ;;;;;;;;;;;;;;;;;;;;
50;13003;Антоні Новосельського;вулиця;Святошинський;Рішення Київської міської ради  ;19.04.2018;490/4554;Про найменування нових вулиць у Святошинському районі міста Києва;Пролягає від Миколи Богуславського вул. до Миколи Носова вул.;Проектна - 13003;вулиця;;;;;;;;;;;;;;;;;;
51;10026;Антонова Авіаконструктора;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради народних депутатів;17.06.1985;500;Про найменування та перейменування вулиць м. Києва;Пролягає від Повітрофлотського просп. до Ушинського, вул.;;;;;;;;;;;;;;;;;;;;
52;10366;Антоновича;вулиця;Голосіївський, Печерський;Рішення Київської міської ради;13.11.2014;373/373;Про повернення історичних назв та перейменування вулиць, площ, провулків у місті Києві;Пролягає від Толстого Льва, вул. до Либідської, пл.;;;;;;;;;;;;;;;;;;;;
53;10028;Ареф'єва Костянтина;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради народних депутатів;06.09.1982;1479;Про впорядкування найменувань та перейменувань вулиць м. Києва;Пролягає від Маслівка, вул. до Садової 79 вул.  ;;;;;;;;;;;;;;;;;;;;
54;11974;Аркасівська;вулиця;Оболонський;Рішення Київської міської ради   ;14.07.2011;374/5761;«Про найменування вулиць в Оболонському районі м. Києва»;Пролягає у новому мікрорайоні на схід від Богатирської вул. паралельно Сваромській вул.;;;;;;;;;;;;;;;;;;;;
55;10029;Армійська ;вулиця;Голосіївський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Весняної вул. до Золотоніської вул. ;;;;;;;;;;;;;;;;;;;;
56;10031;Арсенальна ;площа;Печерський;Розпорядження Київської міської ради народних депутатів та Київської міської державної адміністрації;02.02.1993;16/116;Про повернення вулицям історичних назв, перейменування парків культури та відпочинку, станцій метро;Розташована між Грушевського Михайла, вул., Московською вул. і Мазепи Івана, вул.;;;;;;;;;;;;;;;;;;;;
57;10030;Арсенальна ;вулиця;Печерський;-;-;-;-;Виникла у 1-й пол. 19 ст. Пролягає від Генерала Алмазова, вул. до Лесі Українки, бульв.;;;;;;;;;;;;;;;;;;;;
